indicator_id,dimension_id,sub_dimension_id,category_id,indicator_name,description,status
1,1,1,1,Rainfall onset and cessation,NULL,1
2,1,1,1,Amount of rainfall received,NULL,1
3,1,1,2,Average temperatures ,NULL,1
4,1,1,2,Number of extremely hot or cold days,NULL,1
5,1,1,2,Incidences & severity of frost,NULL,1
6,2,2,3,Distance to the main sources of livestock feeds,NULL,1
7,2,2,3,"Cost of livestock feeds e.g., a bale of fodder",NULL,1
8,2,2,3,Normalized Difference Vegetation Index (NDVI),NULL,1
9,2,2,4,Variety of feeds in use,NULL,1
10,2,2,5,Distance to main water points,NULL,1
11,2,2,5,Cost of water for livestock,NULL,1
12,2,2,5,Water levels in water sources that are critical for livestock,NULL,1
13,2,2,6,Prevalence of pests that are linked to climatic hazards,NULL,1
14,2,2,6,Prevalence of diseases that are linked to climatic hazards,NULL,1
15,2,3,7,Quantity of milk produced ,NULL,1
16,2,3,7,Quantity of meat produced,NULL,1
17,2,3,7,Number of livestock deaths related to climatic hazards ,NULL,1
18,2,3,7,Revenue from livestock sector,NULL,1
19,2,3,8,Proportion of livestock keeping households classified as food insecure ,NULL,1
20,2,3,8,Proportion of livestock keeping households receiving emergency food aid ,NULL,1
21,2,3,9,Number of inter/intra- community conflict incidences,NULL,1
22,3,4,10,Ratio of veterinary service providers to livestock keepers ,NULL,1
23,3,4,11,Average land ownership/certification per livestock-keeping household,NULL,1
24,3,4,11,Land access per livestock keeping household,NULL,1
25,3,4,11,Share of community land available for livestock keeping activities ,NULL,1
26,3,4,12,Proportion of livestock keeping households engaging in water harvesting & storage,NULL,1
27,3,4,12,Proportion of functional water sources,NULL,1
28,3,4,12,System-level investments in water infrastructure development,NULL,1
29,3,4,12,National-level investments in water infrastructure development in livestock systems,NULL,1
30,3,4,13,Proportion of livestock keeping households engaging in heat & cold stress reduction interventions on livestock,NULL,1
31,3,4,13,"Proportion of livestock keeping households engaging in control of diseases and pests that are linked to climate risks e.g., vaccination, treatment, deworming, spraying",NULL,1
32,3,4,13,Number of vaccination campaigns carried out on diseases related to climate change and proportion of TLUs covered,NULL,1
33,3,4,14,Establishment & implementation of national livestock breeding programs,NULL,1
34,3,4,14,Establishment & implementation of national breeding programs/ schemes that are focused on improving the adaptability of livestock to climate change,NULL,1
35,3,4,15,Proportion of livestock keeping households growing adaptive fodder varieties,NULL,1
36,3,4,15,Proportion of livestock keeping households adopting improved livestock feeding technologies,NULL,1
37,3,4,15,Proportion of livestock keeping households engaging in feed preservation practices,NULL,1
38,3,4,15,Proportion of livestock keeping households engaging in pasture management practices,NULL,1
39,3,4,15,Proportion of livestock keeping households engaging in collective feed production &/or storage,NULL,1
40,3,4,15,Proportion of communal lands with grazing plans (Extensive systems),NULL,1
41,3,5,16,Proportion of livestock keeping households accessing training on climate change adaptation,NULL,1
42,3,5,16,Number of state & non-state actors capacity built to support adaptation,NULL,1
43,3,5,16,Number of livestock keepers trained on climate change adaptation,NULL,1
44,3,5,17,Proportion of livestock keeping households accessing agro-weather information,NULL,1
45,3,5,17,Utility of agro-weather information ,NULL,1
46,3,5,17,Presence of sub-national systems offering climate information services,NULL,1
47,3,5,17,Existence of a functional national-level system for generating and disseminating climate information,NULL,1
48,3,5,18,Proportion of livestock keeping households accessing information on livestock pests and diseases,NULL,1
49,3,5,18,Utility of information on livestock diseases,NULL,1
50,3,5,18,Existence of subnational livestock disease surveillance systems,NULL,1
51,3,5,18,Existence of a functional national livestock disease surveillance system,NULL,1
52,3,5,19,Proportion of livestock keeping households accessing information on livestock and products markets,NULL,1
53,3,5,19,Utility of livestock market information services ,NULL,1
54,3,5,19,Existence of sub-national market information systems for livestock & livestock products ,NULL,1
55,3,5,19,Existence of a functional national market information system for livestock & livestock products,NULL,1
56,3,5,19,Existence of national market information systems linked to regional livestock & livestock products market information systems,NULL,1
57,3,5,20,Existence of a knowledge management systems,NULL,1
