indicator_weight_id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,indicator_weight_grazing,indicator_weight_grazing_prcnt,indicator_weight_mixed,indicator_weight_mixed_prcnt,status
1,1,1,1,1,1,1,,1,,1
2,1,1,1,1,2,1,,1,,1
3,1,1,1,2,3,1,,1,,1
4,1,1,1,2,4,1,,1,,1
5,1,1,1,2,5,0,,1,,1
6,1,2,2,3,6,2,,2,,1
7,1,2,2,3,7,2,,2,,1
8,1,2,2,3,8,2,,1,,1
9,1,2,2,4,9,1,,1,,1
10,1,2,2,5,10,2,,2,,1
11,1,2,2,5,11,1,,2,,1
12,1,2,2,5,12,2,,2,,1
13,1,2,2,6,13,1,,1,,1
14,1,2,2,6,14,1,,1,,1
15,1,2,3,7,15,1,,1,,1
16,1,2,3,7,16,1,,1,,1
17,1,2,3,7,17,1,,1,,1
18,1,2,3,7,18,1,,1,,1
19,1,2,3,8,19,2,,1,,1
20,1,2,3,8,20,2,,1,,1
21,1,2,3,9,21,1,,1,,1
22,1,3,4,10,22,1,,1,,1
23,1,3,4,11,23,1,,1,,1
24,1,3,4,11,24,1,,1,,1
25,1,3,4,11,25,1,,0,,1
26,1,3,4,12,26,1,,1,,1
27,1,3,4,12,27,1,,1,,1
28,1,3,4,12,28,0,,0,,1
29,1,3,4,12,29,0,,0,,1
30,1,3,4,13,30,1,,1,,1
31,1,3,4,13,31,1,,1,,1
32,1,3,4,13,32,1,,1,,1
33,1,3,4,14,33,0,,0,,1
34,1,3,4,14,34,0,,0,,1
35,1,3,4,15,35,1,,1,,1
36,1,3,4,15,36,1,,1,,1
37,1,3,4,15,37,1,,1,,1
38,1,3,4,15,38,1,,1,,1
39,1,3,4,15,39,1,,1,,1
40,1,3,4,15,40,1,,0,,1
41,1,3,5,16,41,1,,1,,1
42,1,3,5,16,42,1,,1,,1
43,1,3,5,16,43,1,,1,,1
44,1,3,5,17,44,1,,1,,1
45,1,3,5,17,45,1,,1,,1
46,1,3,5,17,46,0,,0,,1
47,1,3,5,17,47,0,,0,,1
48,1,3,5,18,48,1,,1,,1
49,1,3,5,18,49,1,,1,,1
50,1,3,5,18,50,0,,0,,1
51,1,3,5,18,51,0,,0,,1
52,1,3,5,19,52,1,,1,,1
53,1,3,5,19,53,1,,1,,1
54,1,3,5,19,54,0,,0,,1
55,1,3,5,19,55,0,,0,,1
56,1,3,5,19,56,0,,0,,1
57,1,3,5,20,57,0,,0,,1
58,1,3,6,21,58,1,,0,,1
59,1,3,6,21,59,0,,0,,1
60,1,3,6,21,60,0,,0,,1
61,1,3,6,21,61,1,,0,,1
62,1,3,6,21,62,1,,1,,1
63,1,3,6,21,63,1,,1,,1
64,1,3,6,22,64,1,,1,,1
65,1,3,6,23,65,1,,1,,1
66,1,3,6,24,66,1,,1,,1
67,1,3,6,24,67,1,,1,,1
