sub_dimension_weight_id,country_id,dimension_id,sub_dimension_id,sub_dimension_weight_grazing,sub_dimension_weight_grazing_prcnt,sub_dimension_weight_mixed,sub_dimension_weight_mixed_prcnt,status
1,1,1,1,1,,1,,1
2,1,2,2,1,,1,,1
3,1,2,3,1,,1,,1
4,1,3,4,1,,1,,1
5,1,3,5,1,,1,,1
6,1,3,6,1,,1,,1
7,1,3,7,1,,1,,1
8,2,1,1,1,,1,,1
9,2,2,2,1,,1,,1
10,2,2,3,1,,1,,1
11,2,3,4,1,,1,,1
12,2,3,5,1,,1,,1
13,2,3,6,1,,1,,1
14,2,3,7,1,,1,,1
15,3,1,1,1,,1,,1
16,3,2,2,1,,1,,1
17,3,2,3,1,,1,,1
18,3,3,4,1,,1,,1
19,3,3,5,1,,1,,1
20,3,3,6,1,,1,,1
21,3,3,7,1,,1,,1
